Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
1,1,0,0,11,2016,21517,989545.3897,213790.7011,EAST 42 STREET,5 AVENUE
1,1,0,0,11,2016,13361,983236.1109,164081.1365,76 STREET,15 AVENUE
1,1,0,0,11,2016,54341,1024228.879,266795.9277,NEREID AVENUE,RICHARDSON AVENUE
1,1,0,0,11,2016,49049,1016683.901,254824.2099,BEDFORD PARK BOULEVARD,SOUTHERN BOULEVARD
1,0,0,1,12,2015,40715,1002350.511,200581.7777,VANDERVOORT AVENUE,MASPETH AVENUE
1,1,0,0,12,2015,21478,988226.1174,217227.5213,8 AVENUE,WEST 51 STREET
1,1,0,0,12,2015,12836,985687.6513,157786.8219,BAY 31 STREET,BENSON AVENUE
1,1,0,0,12,2015,5175,948649.1867,142063.0286,HYLAN BOULEVARD,BUFFALO STREET
1,1,0,0,12,2015,27187,1008351.054,184222.8147,PROSPECT PLACE,EASTERN PARKWAY
1,1,0,0,12,2015,42827,1004975.104,232882.2659,BRUCKNER BOULEVARD,WILLIS AVENUE BRIDGE
1,1,0,0,12,2015,33859,1033242.925,185908.0803,115 STREET,ROCKAWAY BOULEVARD
1,1,0,0,12,2015,28864,1014348.338,170815.7227,ROCKAWAY PARKWAY,AVENUE N
1,0,0,1,12,2015,55871,1036761.957,216723.874,155 STREET,SANFORD AVENUE
1,1,0,0,12,2015,16981,997455.9083,153567.4672,AVENUE Z,EAST 17 STREET
1,1,0,0,12,2015,18649,991338.7653,189318.5919,SOUTH PORTLAND AVENUE,FULTON STREET
1,1,0,0,12,2015,58285,1031385.744,261863.6381,BOSTON ROAD,DE LAVALL AVENUE
1,1,0,0,12,2015,46931,1019252.57,215025.859,NORTHERN BOULEVARD,JUNCTION BOULEVARD
1,0,0,1,12,2015,41118,1007122.798,207244.6315,LAUREL HILL BOULEVARD,49 STREET
1,1,0,0,12,2015,22753,993393.3705,216496.7947,EAST 58 STREET,3 AVENUE
1,1,0,0,12,2015,30450,1017990.775,199003.6444,METROPOLITAN AVENUE,74 STREET
1,1,0,0,12,2015,17066,998163.105,156784.5897,GRAVESEND NECK ROAD,EAST 21 STREET
1,0,0,1,12,2015,24875,1001266.425,152012.5422,EMMONS AVENUE,NOSTRAND AVENUE
1,1,0,0,12,2015,50889,1022215.002,213883.8567,105 STREET,37 AVENUE
1,1,0,0,12,2015,15975,988875.3779,191992.1495,GOLD STREET,FLATBUSH AVENUE EXTENSION
1,0,0,1,5,2015,28102,1011394.699,144090.078,ROCKAWAY BREEZY BOULEVARD,BEACH 193 STREET
1,0,0,1,5,2015,28762,1012327.41,173192.4142,AVENUE J,ROCKAWAY PARKWAY
1,1,0,0,5,2015,49496,1012831.1,267992.0671,BROADWAY,HENRY HUDSON PKWY ET 23 N SB
1,0,0,1,5,2015,100663,1021361.563,176940.5241,ERSKINE STREET,BELT PARKWAY WB EN ERSKINE ST
1,1,0,0,5,2015,33826,1032779.751,189964.4863,103 AVENUE,LEFFERTS BOULEVARD
1,1,0,0,5,2015,28701,1011359.102,174331.4634,ROCKAWAY PARKWAY,GLENWOOD ROAD
1,1,0,0,5,2015,44174,1008768.195,244545.7304,EAST 170 STREET,MORRIS AVENUE
1,1,0,0,5,2015,42533,1001744.873,239784.5031,ADAM C POWELL BOULEVARD,WEST 150 STREET
1,0,0,1,5,2015,4469,944951.1232,138383.6331,HYLAN BOULEVARD,GREAT KILLS ROAD
1,1,0,0,5,2015,27211,1009004.494,186403.6236,ROCKAWAY AVENUE,FULTON STREET
1,1,0,0,5,2015,17050,998981.7845,152950.1321,VOORHIES AVENUE,EAST 22 STREET
1,1,0,0,5,2015,43947,1006816.519,240067.6548,MORRIS AVENUE,EAST 161 STREET
1,0,0,1,5,2015,28918,1014819.767,179358.0413,LINDEN BOULEVARD,NEW JERSEY AVENUE
1,0,0,1,5,2015,34076,1036806.599,182096.4118,SOUTH CONDUIT AVENUE,130 STREET
1,1,0,0,5,2015,14084,984801.2358,179904.1294,25 STREET,4 AVENUE
1,1,0,0,5,2015,41552,1003738.743,216463.6875,28 STREET,34 AVENUE
1,1,0,0,5,2015,22695,992295.4071,217702.458,EAST 60 STREET,MADISON AVENUE
1,1,0,0,5,2015,6516,946915.9224,169627.5164,HEBERTON AVENUE,PALMER AVENUE
1,1,0,0,5,2015,21225,984716.8626,216465.1377,11 AVENUE,WEST 42 STREET
1,1,0,0,5,2015,12815,985209.7717,155439.5629,24 AVENUE,SHORE PARKWAY
1,0,0,1,5,2015,44214,1008496.099,248123.469,EAST 175 STREET,JEROME AVENUE
1,1,0,0,5,2015,22914,995035.3685,216480.2393,1 AVENUE,EAST 61 STREET
1,1,0,0,5,2015,52366,1020195.826,240664.3701,WATSON AVENUE,CROES AVENUE
1,0,1,0,5,2015,42503,1001640.634,233513.3841,EAST 129 STREET,PARK AVENUE
1,1,0,0,5,2015,23927,994514.1678,232291.7615,AMSTERDAM AVENUE,WEST 112 STREET
1,0,0,1,5,2015,3416,936106.3118,159210.5461,SIGNS ROAD,VICTORY BOULEVARD
1,1,0,0,5,2015,26226,1003738.733,178063.3588,EAST 51 STREET,LENOX ROAD
1,1,0,0,5,2015,36336,1042531.181,185340.4863,125 AVENUE,SUTPHIN BOULEVARD
1,0,1,0,6,2015,18238,995069.8369,176121.4106,OCEAN AVENUE,CHURCH AVENUE
1,1,0,0,6,2015,57484,1031884.024,249950.4929,WESTCHESTER AVENUE,COLONIAL AVENUE
1,0,0,1,6,2015,28762,1012327.41,173192.4142,AVENUE J,ROCKAWAY PARKWAY
1,0,0,1,6,2015,44792,1009402.899,258886.0128,MARBLE HILL AVENUE,WEST 228 STREET
1,0,0,1,6,2015,18961,997259.3011,184031.1487,ST JOHNS PLACE,ROGERS AVENUE
