:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
36,12423,18,18,4,MANHATTAN,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,117       WEST 116 STREET               ,2017-09-15T00:00:00.000,40.802345,POINT (-73.95044 40.802345),,,,,-73.95044,0,0,0,0,1,0,1,0,,,2:55,3750495,TAXI,,,,,10026
22,11269,35,31,5,BRONX,Unspecified,,,,,2035      MARMION AVENUE                ,2017-09-15T00:00:00.000,40.84486,POINT (-73.88551 40.84486),,,,,-73.88551,0,0,0,0,0,0,0,0,,,0:00,3751524,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,10460
17,16866,61,40,2,BROOKLYN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.65461,POINT (-73.922 40.65461),,,,,-73.922,0,0,1,0,0,0,1,0,KINGS HIGHWAY,REMSEN AVENUE                   ,19:30,3751583,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11212
49,17618,69,51,2,,Turning Improperly,Unsafe Speed,Unspecified,,,,2017-09-15T00:00:00.000,40.680042,POINT (-73.949585 40.680042),,,,,-73.949585,0,0,0,0,0,0,0,0,,NOSTRAND AVENUE                 ,13:51,3751611,SPORT UTILITY / STATION WAGON,TAXI,SPORT UTILITY / STATION WAGON,,,
29,10931,6,29,5,BRONX,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.848637,POINT (-73.91169 40.848637),,,,,-73.91169,0,0,1,0,0,0,1,0,EAST 176 STREET,JEROME AVENUE                   ,16:32,3751660,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,10453
32,11723,70,4,4,MANHATTAN,Unspecified,Unspecified,,,,,2017-09-15T00:00:00.000,40.718792,POINT (-73.98902 40.718792),,,,,-73.98902,0,0,0,0,0,0,0,0,LUDLOW STREET,DELANCEY STREET                 ,14:08,3751748,TAXI,,,,,10002
15,13826,32,36,2,BROOKLYN,Backing Unsafely,Unspecified,,,,4800      BEDFORD AVENUE                ,2017-09-15T00:00:00.000,40.58455,POINT (-73.94374 40.58455),,,,,-73.94374,0,0,0,0,0,0,0,0,,,8:05,3751755,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11235
15,13512,32,36,2,BROOKLYN,Passing or Lane Usage Improper,Unspecified,,,,2285      OCEAN AVENUE                  ,2017-09-15T00:00:00.000,40.60572,POINT (-73.95261 40.60572),,,,,-73.95261,0,0,0,0,0,0,0,0,,,15:00,3751774,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11229
11,13510,60,43,2,BROOKLYN,Unspecified,,,,,,2017-09-15T00:00:00.000,40.650295,POINT (-73.966156 40.650295),,,,,-73.966156,0,0,0,0,0,0,0,0,CATON AVENUE,MARLBOROUGH ROAD                ,15:15,3751808,PASSENGER VEHICLE,,,,,11226
39,13090,47,21,4,MANHATTAN,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,40.841084,POINT (-73.937935 40.841084),,,,,-73.937935,0,0,0,0,0,0,0,0,WEST 169 STREET,AUDUBON AVENUE                  ,16:26,3751870,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10032
41,24017,46,60,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.691723,POINT (-73.85115 40.691723),,,,,-73.85115,0,0,1,0,0,0,1,0,,WOODHAVEN BOULEVARD             ,17:00,3751899,PASSENGER VEHICLE,,,,,
,,,,,,Following Too Closely,Unspecified,,,,,2017-09-15T00:00:00.000,,,,,,,,0,0,0,0,0,0,0,0,109 AVENUE,VANWYCK EXPRESSWAY              ,8:00,3751987,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
31,11611,58,26,5,BRONX,Passing or Lane Usage Improper,Unspecified,,,,,2017-09-15T00:00:00.000,40.825554,POINT (-73.843254 40.825554),,,,,-73.843254,0,0,0,0,0,0,0,0,ZEREGA AVENUE,HERMANY AVENUE                  ,8:30,3752045,PASSENGER VEHICLE,,,,,10473
25,17215,45,47,2,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-15T00:00:00.000,40.657642,POINT (-73.8749 40.657642),,,,,-73.8749,0,0,1,0,0,0,1,0,,ELTON STREET                    ,16:45,3752093,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
26,13825,5,38,2,BROOKLYN,Turning Improperly,Unspecified,,,,,2017-09-15T00:00:00.000,40.62443,POINT (-73.93487 40.62443),,,,,-73.93487,0,0,1,0,0,0,1,0,EAST 41 STREET,KINGS HIGHWAY                   ,17:05,3752148,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11234
